pregunta,bloque,enunciado,estado_previsto,estado,archivo,figura,hallazgo,implicacion,limitacion,fecha
P19,Aduanas y mercancías,¿Qué países y productos explican las principales variaciones mensuales?,viable,ejecutada,serie_aduanera_mensual.parquet,,Composición y extremos heredados del pipeline aduanero verificado,,Recalculados sobre la misma serie reconciliada,2026-08-06T10:21:31
P20,Aduanas y mercancías,¿Qué meses presentan extremos y de qué naturaleza?,viable,ejecutada,serie_aduanera_mensual.parquet,,Composición y extremos heredados del pipeline aduanero verificado,,Recalculados sobre la misma serie reconciliada,2026-08-06T10:21:31
P21,Aduanas y mercancías,¿Qué tendencia estacionalidad persistencia y cambios de régimen hay?,viable,ejecutada,estacionalidad_aduanera.csv,,Estacionalidad moderada; persistencia de rezago 1 alta,,,2026-08-06T10:21:31
P22,Aduanas y mercancías,¿Las revisiones posteriores del DANE modifican la serie?,parcial,parcial,,,"Solo existe una descarga del DANE, del 2026-08-01",,Las revisiones no son medibles sin una segunda descarga,2026-08-06T10:21:31
P23,Carga portuaria,¿Cómo evoluciona la carga movilizada en la zona portuaria?,viable,ejecutada,serie_portuaria_mensual.parquet,P23_carga_movilizada_en_la_zona_portuaria_de_buenaventura.png,Promedio mensual 1.70 M t; máximo 2.99 M t,,,2026-08-06T10:21:31
P24,Carga portuaria,¿Cómo se distribuye la carga por tipo?,viable,ejecutada,participacion_tipo_carga.csv,P24_composicion_de_la_carga_por_tipo.png,CONTENEDORES: 56.7 %; GRANEL SOLIDO DIFER. DE CARBON: 28.1 %; GENERAL: 7.7 %; CARBON AL GRANEL: 4.9 %; GRANEL LIQUIDO: 2.7 %,,,2026-08-06T10:21:31
P25,Carga portuaria,¿Cómo evolucionan contenedores y TEU y qué diferencia hay?,parcial,parcial,serie_contenerizada.csv,,Carga contenerizada media 0.96 M t/mes,,"El dataset publica toneladas, NO unidades de contenedor ni TEU. La razón TEU/contenedor no puede calcularse con esta fuente",2026-08-06T10:21:31
P26,Carga portuaria,¿Qué terminales o sociedades portuarias concentran carga?,viable,ejecutada,participacion_sociedad_portuaria.csv,,"HHI 3,514 → CONCENTRADO. Una sola sociedad moviliza 51.4 % de las toneladas",El riesgo no está en qué se importa sino en por dónde pasa,,2026-08-06T10:21:32
P27,Carga portuaria,¿Qué terminales se especializan en determinados tipos de carga?,viable,ejecutada,especializacion_terminales.csv,,Especialización casi total: TCBUEN 100 % contenedores; Grupo Portuario y Compañía de Puertos solo graneles,La capacidad de respaldo entre terminales es menor de lo que sugiere el reparto agregado,,2026-08-06T10:21:32
P28,Carga portuaria,¿Existen cambios de capacidad concesión o metodología?,parcial,ejecutada,actividad_anual_terminales.csv,,2 de 5 operadores dejan de reportar en 2026: COMPANIA DE PUERTOS ASOCIADOS S.; GRUPO PORTUARIO S.A,Un quiebre institucional en la serie no debe leerse como caída del comercio,"La fuente registra reporte, no operación",2026-08-06T10:21:32
P29,Carga portuaria,¿Qué periodos presentan movimientos portuarios extremos?,viable,ejecutada,extremos_portuarios.csv,P29_meses_portuarios_extremos.png,3 meses extremos en toneladas totales,,,2026-08-06T10:21:32
P30,Carga portuaria,¿Qué relación agregada existe entre peso aduanero y toneladas portuarias?,viable,ejecutada,vista_integrada_mensual.parquet,P30_peso_aduanero_frente_a_toneladas_portuarias_en_escala_normal.png,Razón mediana toneladas portuarias/peso neto aduanero = 1.16; correlación contemporánea en diferencias = 0.115,"Los dominios son complementarios, no equivalentes",El puerto incluye exportación y transbordo; la aduana solo importación,2026-08-06T10:21:32
P31,Buques y fechas,¿Cuántos arribos y zarpes se registran por periodo?,no viable,no viable,reporte_no_viabilidad.csv,,Sin fuente pública para arribos y zarpes por periodo,,"No existe fuente pública con serie histórica tabular. DIMAR publica únicamente boletines trimestrales en PDF, sin desagregación por evento. Los datos de evento (ETA, ATA, ETD, ATD, fondeo, permanencia) provienen de sistemas de terminal o de AIS comercial, sin acceso ni presupuesto.",2026-08-06T10:21:32
P32,Buques y fechas,¿Qué tipos de buque participan y cómo cambia su composición?,no viable,no viable,reporte_no_viabilidad.csv,,Sin fuente pública para tipos de buque y su composición,,"No existe fuente pública con serie histórica tabular. DIMAR publica únicamente boletines trimestrales en PDF, sin desagregación por evento. Los datos de evento (ETA, ATA, ETD, ATD, fondeo, permanencia) provienen de sistemas de terminal o de AIS comercial, sin acceso ni presupuesto.",2026-08-06T10:21:32
P33,Buques y fechas,¿Qué banderas procedencias destinos o rutas aparecen?,no viable,no viable,reporte_no_viabilidad.csv,,"Sin fuente pública para banderas, procedencias, destinos y rutas",,"No existe fuente pública con serie histórica tabular. DIMAR publica únicamente boletines trimestrales en PDF, sin desagregación por evento. Los datos de evento (ETA, ATA, ETD, ATD, fondeo, permanencia) provienen de sistemas de terminal o de AIS comercial, sin acceso ni presupuesto.",2026-08-06T10:21:32
P34,Buques y fechas,¿Qué horarios y días concentran arribos atraques o zarpes?,no viable,no viable,reporte_no_viabilidad.csv,,"Sin fuente pública para horarios y días de arribo, atraque y zarpe",,"No existe fuente pública con serie histórica tabular. DIMAR publica únicamente boletines trimestrales en PDF, sin desagregación por evento. Los datos de evento (ETA, ATA, ETD, ATD, fondeo, permanencia) provienen de sistemas de terminal o de AIS comercial, sin acceso ni presupuesto.",2026-08-06T10:21:32
P35,Buques y fechas,¿Cuál es la diferencia entre tiempos estimados y reales?,no viable,no viable,reporte_no_viabilidad.csv,,"Sin fuente pública para diferencia entre tiempos estimados y reales (ETA/ATA, ETD/ATD)",,"No existe fuente pública con serie histórica tabular. DIMAR publica únicamente boletines trimestrales en PDF, sin desagregación por evento. Los datos de evento (ETA, ATA, ETD, ATD, fondeo, permanencia) provienen de sistemas de terminal o de AIS comercial, sin acceso ni presupuesto.",2026-08-06T10:21:32
P36,Buques y fechas,¿Cuánto tiempo permanecen los buques en fondeo terminal o puerto?,no viable,no viable,reporte_no_viabilidad.csv,,"Sin fuente pública para permanencia en fondeo, terminal o puerto",,"No existe fuente pública con serie histórica tabular. DIMAR publica únicamente boletines trimestrales en PDF, sin desagregación por evento. Los datos de evento (ETA, ATA, ETD, ATD, fondeo, permanencia) provienen de sistemas de terminal o de AIS comercial, sin acceso ni presupuesto.",2026-08-06T10:21:32
P37,Buques y fechas,¿Qué buques rutas o terminales presentan mayores frecuencias o permanencias?,no viable,no viable,reporte_no_viabilidad.csv,,"Sin fuente pública para frecuencias y permanencias por buque, ruta o terminal",,"No existe fuente pública con serie histórica tabular. DIMAR publica únicamente boletines trimestrales en PDF, sin desagregación por evento. Los datos de evento (ETA, ATA, ETD, ATD, fondeo, permanencia) provienen de sistemas de terminal o de AIS comercial, sin acceso ni presupuesto.",2026-08-06T10:21:32
P38,Buques y fechas,¿Qué calidad y cobertura tienen los identificadores fechas e itinerarios?,no viable,no viable,reporte_no_viabilidad.csv,,"Sin fuente pública para calidad de identificadores, fechas e itinerarios",,"No existe fuente pública con serie histórica tabular. DIMAR publica únicamente boletines trimestrales en PDF, sin desagregación por evento. Los datos de evento (ETA, ATA, ETD, ATD, fondeo, permanencia) provienen de sistemas de terminal o de AIS comercial, sin acceso ni presupuesto.",2026-08-06T10:21:32
P39,Contexto e integración,¿Qué relación temporal existe entre TRM CIF peso toneladas TEU y arribos?,parcial,parcial,correlaciones_integradas.csv,,Correlaciones débiles entre TRM y los indicadores de ambos dominios,,Correlación no implica causalidad; el rezago 0 no es usable,2026-08-06T10:21:32
P40,Contexto e integración,¿Qué condiciones meteorológicas coinciden con cambios en carga?,parcial,no viable,,,No se integró fuente meteomarina,,IDEAM y DIMAR requieren evaluación de cobertura que no se alcanzó hoy,2026-08-06T10:21:32
P41,Contexto e integración,¿Qué eventos externos coinciden con cambios estructurales o extremos?,viable,ejecutada,catalogo_eventos.csv,,"Tres eventos catalogados; coincidencia temporal, no causalidad",,Las fuentes deben verificarse y fecharse antes de la entrega,2026-08-06T10:21:32
P42,Contexto e integración,¿Qué relaciones pueden construirse de forma directa agregada o contextual?,viable,ejecutada,matriz_integracion.csv,,Ninguna relación es directa: la aduanera-portuaria es agregada por mes,Prohibido afirmar que una declaración corresponde a un buque,,2026-08-06T10:21:32
P43,Contexto e integración,¿Qué porcentaje de registros o periodos queda vinculado?,viable,ejecutada,cobertura_integracion.csv,,101 meses vinculados (2018-01 a 2026-05); 99 % del puerto,,,2026-08-06T10:21:32
P44,Contexto e integración,¿Los desfases de publicación introducen sesgos al comparar fuentes?,viable,ejecutada,calendario_disponibilidad.csv,,El puerto va un mes por delante de la aduana (junio contra mayo),El desfase impide usar el puerto como predictor contemporáneo del CIF,,2026-08-06T10:21:32
P45,Contexto e integración,¿Qué indicadores integrados aportan información adicional?,viable,ejecutada,valor_incremental.csv,,La vista integrada permite distinguir si un cambio del CIF viene acompañado de un cambio en toneladas movilizadas,,,2026-08-06T10:21:32
P46,Pronóstico y producto,¿Qué indicadores tienen calidad historia y utilidad para ser pronosticados?,viable,ejecutada,elegibilidad_indicadores.csv,,4 de 7 indicadores elegibles,Solo se pronostica lo que tiene historia y calidad suficientes,,2026-08-06T10:21:32
P47,Pronóstico y producto,¿Qué desempeño obtienen Naive 1 Naive estacional y drift?,viable,ejecutada,metricas_modelos_portuarios.csv,,"Naive 1, Naive 12 y drift evaluados en ambos indicadores",,,2026-08-06T10:21:38
P48,Pronóstico y producto,¿Qué modelos logran mejor estabilidad fuera de muestra sin fuga?,viable,ejecutada,metricas_modelos_portuarios.csv,,Ver tabla comparativa por ventana,,,2026-08-06T10:21:38
P49,Pronóstico y producto,¿Qué variables aportan valor incremental al pronóstico?,viable,ejecutada,ablacion_multidominio.csv,,Las variables portuarias NO mejoran el pronóstico del CIF: 6.082 % → 6.575 %,"El valor de la integración es explicativo, no predictivo",89 filas utilizables y 24 cortes; otro conjunto de variables podría dar otro resultado,2026-08-06T10:21:38
P50,Pronóstico y producto,¿Los modelos presentan sesgo errores extremos o degradación?,viable,ejecutada,diagnostico_portuario.csv,,Sesgo y error máximo reportados por indicador,,,2026-08-06T10:21:38
P51,Pronóstico y producto,¿Los intervalos alcanzan la cobertura nominal con ancho útil?,viable,ejecutada,cobertura_intervalos_portuarios.csv,,toneladas_totales_ridge_v24: 92%; toneladas_totales_ridge_v36: 75%; ton_contenerizada_naive_1_v24: 75%; ton_contenerizada_naive_1_v36: 75%,,Con pocos cortes la cobertura medida tiene mucha incertidumbre,2026-08-06T10:21:38
P52,Pronóstico y producto,¿Cómo transforma el dashboard los indicadores en señales de alerta?,viable,ejecutada,reglas_alerta.json,,Reglas de tres niveles definidas sobre cuatro indicadores,,,2026-08-06T10:21:38
